"opr.id.md5","m.call","call.sd","start.dt","last.dt","days","l_s"
"0880AC22F4F52760F792AF6DFE1D46A7",96.1089108910891,15.0704352890678,"2014-10-02","2015-03-31",101,181
"72CFA151585581037E31626F051689E1",95.5945945945946,16.2398938523056,"2014-10-02","2015-03-30",111,180
"A537F7AA68B5BD9047A35612AB3D0FE8",95.5544554455445,43.7324765471897,"2014-10-01","2015-03-31",101,182
"D0C5D9DE02DBFA841047B85E0BE820B3",95.2109375,31.6239350058766,"2014-10-01","2015-03-31",128,182
"C28D0B07308D6E1E47475B74966E0006",95.1,29.6910544709401,"2014-10-02","2015-03-31",110,181
"B65C33793EC504C8241083A896ED4CCD",95.0133333333333,47.5523874221847,"2014-12-05","2015-03-31",75,117
"9388EC97C026C98E563570A9346008BF",94.9895833333333,51.5009442512652,"2014-11-05","2015-03-31",96,147
"6BC417D4D835C7FBF4D99AE017965CED",94.4234234234234,23.8375370713539,"2014-10-01","2015-03-20",111,171
"1A8186AD01D04664A225771485B4CB2D",94.2636363636364,23.5705761501505,"2014-10-02","2015-03-31",110,181
"423157E8A0C7DA2ACCB0A77F0A8427EA",93.7203389830509,32.4553304047113,"2014-10-01","2015-03-31",118,182
"2E3F4BFD27A50FA928665D4B53B64DCD",93.5108695652174,38.5379774343446,"2014-10-27","2015-03-31",92,156
"E7A2F37AAADFAEA725628D908372A8D4",93.3300970873786,19.4328347308558,"2014-10-01","2015-03-28",103,179
"638E3F692ECAF9D899CA25FD34FD8AC5",92.6666666666667,26.5756781036094,"2014-10-01","2014-10-08",6,8
"07BAF55B8D94C8EC187C90012C592DA5",91.4155844155844,36.1751407262205,"2014-10-27","2015-02-24",77,121
"D48760CBEDD3CCFFB38533CFF9A24427",91.0088495575221,26.2680195210359,"2014-10-01","2015-03-30",113,181
"B8A60400BCACF8DC6535E9B5D1412975",90.9411764705882,36.7382562981687,"2014-10-27","2015-03-31",102,156
"B3BBEFB783DD516A4E3318383F46F413",90.8965517241379,39.1054844779624,"2014-10-01","2014-11-01",29,32
"67EEDA138CD511A2F8575C6B67B8D07E",89.8392857142857,23.1569952405624,"2014-10-02","2015-01-28",56,119
"CF68508F8C7E6DC2B81FA97446F9489B",89.7,59.0744351550558,"2014-10-10","2015-03-27",10,169
"0CC0B864BA425BEA106402D9B10BCABF",89.1150442477876,20.0551704289823,"2014-10-01","2015-03-31",113,182
"4B3307C05C4247B2EAB77D1099393E7C",89.0258620689655,27.1204915970888,"2014-10-01","2015-03-31",116,182
"F74C58FE3214186800E9467AB96CFC03",88.8311688311688,40.3818623294519,"2014-11-27","2015-03-27",77,121
"93C957E43C0E6410E2B7CAA5DA1A5DD6",88.7368421052632,29.2516427910365,"2014-10-11","2015-03-29",38,170
"118E21A540278AAE0546A9EC615976C8",88.1379310344828,43.6841657263189,"2014-11-19","2015-03-31",87,133
