"cty","dist","vil","vil.pay","fam.num","t.pay","med.pay","Q1.pay","Q3.pay","sd.pay","var.pay"
"臺北市","中正區","南福里",1550,3371,5223425,993,488,1976,2275.2,146.83
"臺北市","中正區","三愛里",1978,3044,6019550,886,413,1876,17351.98,877.46
"臺北市","萬華區","柳鄉里",764,1429,1091492,544,330,914,1020.62,133.62
"臺北市","萬華區","雙園里",942,1421,1338610,620,351,1099,1189.19,126.24
"臺北市","萬華區","糖<ed><U+00AE><U+00BF><ed><U+00BE><U+00B4>里",874,1694,1479782,609,356,1065,949.67,108.71
"臺北市","萬華區","西門里",978,1218,1191172,634,355,1049,2637.76,269.72
"臺北市","萬華區","仁德里",1130,1674,1890987,668,368,1361,1664.85,147.38
"臺北市","萬華區","新起里",1084,2248,2436569,647,365,1206,2960.25,273.12
"臺北市","萬華區","日善里",792,1092,864771,595,362,1050,687.63,86.83
"臺北市","萬華區","菜園里",864,1810,1564346,605,339,1018,1092.13,126.36
"臺北市","萬華區","頂碩里",878,2257,1982679,612,360,1049,1172.62,133.49
"臺北市","萬華區","福音里",1263,1135,1433236,628,343,1043,9015.12,713.92
"臺北市","萬華區","華中里",829,1761,1459547,589,351,1049,951.53,114.81
"臺北市","萬華區","青山里",831,1477,1227755,570,319,1000,1090.1,131.14
"臺北市","萬華區","新和里",936,2470,2312281,658,368,1177,1070.18,114.32
"臺北市","萬華區","新安里",788,1666,1313199,545,338,984,854.16,108.36
"臺北市","萬華區","富民里",789,1458,1150184,569,334,994,838.53,106.29
"臺北市","萬華區","富福里",1083,1464,1585189,612,333,1074,2714.69,250.71
"臺北市","萬華區","綠堤里",682,1026,699979,530,334,849,631.23,92.52
"臺北市","萬華區","忠貞里",803,1289,1035699,577,337,988,789.32,98.24
"臺北市","萬華區","日祥里",882,1563,1378592,612,375,1072,897.46,101.75
"臺北市","萬華區","忠德里",792,1227,971224,582,338,1036,707.75,89.41
"臺北市","萬華區","孝德里",782,939,734022,579,358,975,698.1,89.31
"臺北市","萬華區","保德里",975,985,960734,622,357,1090,1772.6,181.74
"臺北市","萬華區","全德里",937,1255,1176077,645,371,1129,1261.12,134.58
"臺北市","萬華區","興德里",785,1138,893317,596,340,978,725.33,92.4
"臺北市","萬華區","壽德里",887,1579,1400698,635,365,1100,860.59,97.01
"臺北市","萬華區","凌霄里",773,1014,783562,599,354,976,658.95,85.27
