"brh.id","brh.name","brh.zip","brh.addr","brh.lat","brh.lng"
"0783","基隆分行","20241","基隆市中正區義一路122號",25.1345491,121.7468977
"0015","營業部","10546","台北市松山區民生東路三段117號",25.058074,121.54662
"0026","南京東路分行","10571","台北市松山區南京東路五段89號",25.051686,121.5601284
"0912","中崙分行","10506","臺北市松山區敦化南路一段2之1號",25.048066,121.548519
"0532","城中分行","10042","台北市中正區武昌街一段77號",25.04425,121.509681
"0989","古亭分行","10084","台北市中正區南昌路二段220號",25.023862,121.524495
"0048","城東分行","10486","台北市中山區松江路111號",25.0513225,121.5332576
"0211","民生分行","10478","台北市中山區民生東路三段49號",25.0580629,121.5401578
"0406","長春分行","10487","台北市中山區復興北路178號",25.0542459,121.543802
"0417","中山分行","10446","台北市中山區中山北路一段145號",25.051979,121.522851
"0598","民權分行","10449","台北市中山區民權西路48號",25.0625969,121.5203822
"1056","松江分行","10459","台北市中山區松江路162號之1",25.0553841,121.5327937
"0118","基隆路分行","11052","台北市信義區基隆路二段41號",25.0311131,121.5586652
"0565","松山分行","11068","台北市信義區永吉路356號",25.0453189,121.576734
"1229","信義分行","11059","台北市信義區信義路五段100之2號",25.0326522,121.5661137
"0163","天母分行","11148","台北市士林區忠誠路一段99號",25.104785,121.528414
"0510","成功分行","11457","台北市內湖區成功路四段99號",25.0824654,121.5929069
"0657","士林分行","11162","台北市士林區中正路266號",25.0951142,121.5242665
"0303","復興分行","10666","台北市大安區復興南路一段 127 號",25.0431812,121.5440649
"0314","敦南分行","10685","台北市大安區敦化南路一段339號",25.033488,121.549268
"0576","和平分行","10644","台北市大安區和平東路一段 216 號",25.026097,121.53186
"0967","大安分行","10667","台北市大安區復興南路二段237號1樓",25.026013,121.543826
"1193","東門分行","10650","台北市大安區信義路二段134號",25.0337073,121.528149
"0462","內湖分行","11493","台北市內湖區內湖路一段360巷8號",25.0808429,121.5703012
"0897","東湖分行","11490","台北市內湖區金湖路368號",25.0737126,121.6044354
"1089","新湖分行","11466","台北市內湖區民權東路六段27號1樓",25.0687348,121.5836013
"0864","北投分行","11263","台北市北投區中央北路一段191號1樓",25.1357359,121.497668
"0691","木柵分行","11648","台北市文山區木柵路三段129號",24.989017,121.568557
"0875","忠孝分行","10696","台北市大安區忠孝東路4段319號",25.0416064,121.5561163
