"yr.mth","obj.type","addr","obj.age","layout","fl/t.fl","obj.ping","landd.ping","park.ping","park.10k.pr","unit.10k.pr","total.10k.pr","brh.id"
"10312(實價)","華廈","台北市松山區健康路185巷1~30號","22.8","2房/2廳/2衛","5 /共7層","43.15","9.26","--",0,43.5,1877,"0026"
"10312(實價)","住宅大樓","台北市松山區延壽街330巷17弄1~30號","21.8","3房/2廳/2衛","6 /共12層","31.07","5.84","--",0,74,2300,"0026"
"10312(實價)","住宅大樓(含車位)","台北市松山區南京東路五段61~90號","","3房/2廳/2衛","12 /共14層","6.7","0.73","--",0,22.4,150,"0026"
"10312(實價)","套房","台北市松山區南京東路五段31~60號","18.9","1房/1廳/1衛","11 /共11層","10.98","1.59","--",0,79.1,868,"0026"
"10312(實價)","公寓","台北市松山區八德路四段245巷32弄61~90號","36.9","4房/1廳/4衛","2 /共5層","32.9","8.89","--",0,30.4,1000,"0026"
"10312(實價)","公寓","台北市松山區八德路四段204巷6弄1~30號","39.8","4房/2廳/3衛","1 /共4層","38.8","13.54","--",0,81.7,3170,"0026"
"10312(實價)","住宅大樓","台北市松山區健康路181~210號","21.8","3房/2廳/2衛","5 /共12層","31","5.84","--",0,73.6,2280,"0026"
"10312(實價)","華廈","台北市松山區八德路四段181巷1~30號","28.8","3房/2廳/1衛","3 /共7層","30.42","6.48","--",0,32.9,1000,"0026"
"10312(實價)","華廈","台北市松山區八德路四段245巷31~60號","33.5","3房/2廳/1衛","6 /共7層","39.08","8.43","--",0,20.5,802,"0026"
"10312(實價)","公寓","台北市松山區南京東路五段66巷3弄1~30號","","2房/1廳/1衛","1 /共4層","23.14","8.62","--",0,62.6,1449,"0026"
"10312(實價)","公寓","台北市松山區南京東路五段59巷1~30號","42.8","3房/1廳/2衛","2 /共4層","31.94","12.02","--",0,65.1,2080,"0026"
"10312(實價)","公寓","台北市松山區南京東路五段123巷4弄1~30號","","3房/2廳/2衛","2 /共4層","16","5.45","--",0,50.5,808,"0026"
"10311(實價)","住宅大樓","台北市松山區南京東路五段91~120號","37.7","2房/2廳/1衛","4 /共11層","21.88","2.32","--",0,69.9,1530,"0026"
"10311(實價)","華廈(含車位)","台北市松山區三民路31~60號","5.3","2房/2廳/2衛","8 /共8層","32.6","5.59","2.12",0,91.4,2980,"0026"
"10311(實價)","住宅大樓","台北市松山區八德路四段245巷31~60號","33.4","3房/2廳/2衛","3 /共7層","39.65","8.37","--",0,50.4,2000,"0026"
"10311(實價)","套房","台北市松山區南京東路五段211~240號","5.7","1房/1廳/1衛","12 /共18層","16.79","1.34","--",0,88.2,1480,"0026"
"10311(實價)","住宅大樓","台北市松山區南京東路五段151~180號","27.5","2房/2廳/2衛","16 /共16層","39.85","3.6","--",0,75.3,3000,"0026"
"10311(實價)","華廈","台北市松山區八德路四段245巷32弄31~60號","23.8","2房/1廳/2衛","6 /共7層","34.38","7.11","--",0,20.1,690,"0026"
"10311(實價)","住宅大樓","台北市松山區南京東路五段61~90號","","4房/2廳/2衛","14 /共14層","48.35","5.2","--",0,71,3431,"0026"
"10311(實價)","套房","台北市松山區南京東路四段133巷9弄1~30號","6.3","1房/1廳/1衛","4 /共7層","12.82","3.11","--",0,80.3,1030,"0026"
"10311(實價)","公寓","台北市松山區南京東路五段59巷27弄1~30號","40.8","2房/2廳/1衛","2 /共4層","30.58","10.93","--",0,57.2,1750,"0026"
"10311(實價)","套房","台北市松山區南京東路五段211~240號","5.7","1房/1廳/1衛","15 /共18層","17.77","1.42","--",0,99.6,1770,"0026"
"10311(實價)","華廈","台北市松山區南京東路四段151~180號","19.6","0房/0廳/0衛","8 /共10層","69.9","7.75","--",0,72,5030,"0026"
"10310(實價)","住宅大樓","台北市松山區南京東路五段31~60號","24.7","3房/2廳/1衛","15 /共19層","29.39","2.4","--",0,88.5,2600,"0026"
"10310(實價)","套房","台北市松山區八德路三段199巷1~30號","30.8","0房/1廳/1衛","5 /共7層","11.51","2.23","--",0,62.8,723,"0026"
"10310(實價)","華廈","台北市松山區南京東路五段66巷12弄1~30號","33.7","3房/2廳/2衛","7 /共7層","29.72","6.11","--",0,20,595,"0026"
"10310(實價)","公寓","台北市松山區南京東路五段123巷1弄1~30號","27.9","3房/2廳/2衛","3 /共5層","37.97","13.42","--",0,52.7,2000,"0026"
"10310(實價)","華廈","台北市松山區八德路四段245巷52弄1~30號","28.6","3房/2廳/2衛","7 /共7層","38.26","7.12","--",0,87.6,3350,"0026"
"10310(實價)","套房","台北市松山區南京東路五段31~60號","18.8","1房/1廳/1衛","7 /共11層","9.73","1.4","--",0,71.4,695,"0026"
"10310(實價)","公寓","台北市松山區光復北路151~180號","","3房/2廳/1衛","3 /共4層","32.86","12.25","--",0,63.9,2100,"0026"
"10310(實價)","公寓","台北市松山區八德路四段106巷4弄1~30號","35.8","3房/2廳/2衛","2 /共5層","35.92","10.22","--",0,23.7,850,"0026"
"10310(實價)","住宅大樓(含車位)","台北市松山區南京東路五段151~180號","29.9","3房/2廳/2衛","6 /共17層","46.97","3.96","--",0,58.6,2750,"0026"
"10310(實價)","住宅大樓","台北市松山區三民路1~30號","0.4","1房/1廳/1衛","5 /共11層","16.63","3.22","--",0,93.2,1550,"0026"
"10310(實價)","華廈","台北市松山區三民路1~30號","39.8","2房/2廳/1衛","5 /共8層","19.78","3.11","--",0,85.9,1700,"0026"
"10310(實價)","公寓","台北市松山區光復南路17巷31~60號","44.8","3房/2廳/2衛","4 /共4層","28.69","8.17","--",0,89.2,2560,"0026"
"10310(實價)","住宅大樓","台北市松山區南京東路五段31~60號","34.7","2房/2廳/1衛","4 /共13層","16.54","1.66","--",0,16.3,270,"0026"
"10310(實價)","華廈(含車位)","台北市松山區八德路四段121~150號","24.9","2房/2廳/0衛","2 /共7層","57.44","8","--",0,51.4,2950,"0026"
"10310(實價)","住宅大樓","台北市松山區八德路四段17巷1~30號","25.5","4房/1廳/2衛","2 /共12層","38.96","5.6","--",0,27.5,1070,"0026"
"10310(實價)","住宅大樓","台北市松山區南京東路五段31~60號","30.8","2房/1廳/1衛","9 /共12層","35.5","5.23","--",0,70.4,2500,"0026"
"10403(實價)","華廈(含車位)","台北市松山區北寧路1~30號","0.4","1房/1廳/1衛","7 /共10層","34.62","4.78","6.81",230,106.8,3200,"0912"
"10402(實價)","套房","台北市大安區大安路一段1~30號","35.4","1房/1廳/1衛","4 /共7層","13.59","2.62","--",0,89.7,1220,"0912"
"10402(實價)","套房","台北市松山區八德路二段391~420號","8.5","1房/1廳/1衛","10 /共13層","10.26","1","--",0,119.8,1230,"0912"
"10402(實價)","華廈(含車位)","台北市松山區八德路三段12巷16弄1~30號","15.3","3房/2廳/2衛","2 /共6層","51.06","14.36","3.56",0,78.3,4000,"0912"
"10401(實價)","套房","台北市松山區八德路二段366巷31~60號","23.7","1房/1廳/1衛","3 /共6層","13.31","2.46","--",0,77.4,1030,"0912"
"10401(實價)","公寓","台北市松山區八德路二段437巷1弄1~30號","46.7","3房/2廳/2衛","1 /共4層","21.21","9.53","--",0,144.6,3068,"0912"
"10401(實價)","公寓","台北市松山區南京東路三段301~330號","31.1","24房/2廳/5衛","-1 /共4層","144.76","44.47","--",0,183.1,26500,"0912"
"10401(實價)","套房","台北市松山區南京東路四段1~30號","6.1","1房/1廳/1衛","14 /共15層","8.65","0.97","--",0,99.9,865,"0912"
"10401(實價)","套房","台北市松山區八德路二段361~390號","29","1房/1廳/1衛","0 /共12層","10.47","0.91","--",0,76.4,800,"0912"
"10401(實價)","華廈(含車位)","台北市松山區北寧路1~30號","0.3","1房/1廳/1衛","6 /共10層","35.2","4.64","6.81",230,104.6,3200,"0912"
"10401(實價)","華廈(含車位)","台北市松山區北寧路1~30號","0.3","1房/1廳/1衛","7 /共10層","27.88","3.42","6.81",180,102,2329,"0912"
"10401(實價)","華廈(含車位)","台北市松山區北寧路1~30號","0.3","1房/1廳/1衛","8 /共10層","27.83","3.42","6.81",230,115.2,2650,"0912"
"10401(實價)","華廈(含車位)","台北市松山區北寧路1~30號","0.3","1房/1廳/2衛","9 /共10層","50.19","6.24","13.62",360,101.6,4073,"0912"
"10401(實價)","華廈(含車位)","台北市松山區北寧路1~30號","0.3","1房/1廳/1衛","8 /共10層","33.06","4.45","6.81",230,110,3118,"0912"
"10401(實價)","華廈(含車位)","台北市松山區北寧路1~30號","0.3","1房/1廳/2衛","9 /共10層","58.78","7.78","13.62",460,115.8,5688,"0912"
"10401(實價)","華廈(含車位)","台北市松山區北寧路1~30號","0.3","1房/1廳/1衛","5 /共10層","35.35","4.64","6.81",230,103,3168,"0912"
"10401(實價)","華廈(含車位)","台北市松山區北寧路1~30號","0.3","1房/1廳/1衛","4 /共10層","36.2","4.78","6.81",230,104.5,3300,"0912"
"10401(實價)","華廈(含車位)","台北市松山區北寧路1~30號","0.3","1房/1廳/1衛","4 /共10層","35.31","4.64","6.81",230,103,3166,"0912"
"10401(實價)","華廈(含車位)","台北市松山區北寧路1~30號","0.3","1房/1廳/1衛","2 /共10層","35.81","4.64","6.81",230,94.8,2980,"0912"
"10401(實價)","套房","台北市松山區八德路二段391~420號","8.4","1房/1廳/1衛","5 /共13層","9.21","0.88","--",0,107.4,990,"0912"
"10312(實價)","透天厝","台北市松山區八德路三段12巷66弄1~30號","","2房/1廳/1衛","1 /共2層","14.28","10.89","--",0,69.4,991,"0912"
"10312(實價)","公寓","台北市松山區八德路三段12巷66弄31~60號","43.5","3房/1廳/1衛","2 /共4層","30.9","11.95","--",0,35.5,1095,"0912"
"10312(實價)","住宅大樓","台北市松山區八德路二段331~360號","5.9","2房/2廳/1衛","8 /共14層","23","2.02","--",0,107.4,2470,"0912"
"10312(實價)","華廈(含車位)","台北市松山區八德路二段346巷5弄1~30號","3.1","3房/2廳/2衛","3 /共7層","38.28","6.83","--",0,90.2,3454,"0912"
"10312(實價)","華廈","台北市松山區八德路三段12巷20弄1~30號","","3房/2廳/2衛","2 /共6層","37.69","10.44","--",0,26.1,982,"0912"
"10312(實價)","公寓","台北市松山區八德路三段12巷53弄1~30號","","3房/2廳/1衛","1 /共4層","20.6","8.7","--",0,39.1,805,"0912"
"10312(實價)","住宅大樓(含車位)","台北市松山區敦化北路31~60號","25.8","0房/0廳/0衛","6 /共12層","431.22","48.14","43.67",0,104.7,45128,"0912"
"10312(實價)","公寓","台北市松山區八德路三段12巷53弄31~60號","47.4","2房/1廳/1衛","1 /共4層","22.06","8.77","--",0,36.6,808,"0912"
"10312(實價)","華廈","台北市松山區八德路二段437巷10弄1~30號","29","4房/2廳/2衛","4 /共7層","46.27","9.27","--",0,38.9,1800,"0912"
"10312(實價)","華廈","台北市松山區敦化南路一段61~90號","31.2","4房/2廳/2衛","2 /共7層","43.19","8.15","--",0,101.9,4399,"0912"
"10312(實價)","住宅大樓","台北市松山區敦化北路1~30號","42.6","0房/0廳/0衛","3 /共11層","401.27","62.48","--",0,61.9,24857,"0912"
"10312(實價)","住宅大樓","台北市松山區八德路二段361~390號","33","3房/2廳/1衛","10 /共12層","26.8","2.38","--",0,73.9,1980,"0912"
"10311(實價)","華廈","台北市松山區八德路三段12巷53弄1~30號","","3房/2廳/2衛","5 /共6層","17.92","3.78","--",0,72.6,1300,"0912"
"10311(實價)","公寓","台北市松山區八德路三段12巷5弄31~60號","","2房/0廳/1衛","1 /共4層","15.84","5.97","--",0,34.7,549,"0912"
"10311(實價)","住宅大樓","台北市松山區八德路二段331~360號","28.3","1房/1廳/1衛","6 /共12層","13.55","1.34","--",0,74.5,1010,"0912"
"10311(實價)","公寓","台北市大安區大安路一段19巷1~30號","42.3","4房/3廳/3衛","4 /共4層","25.37","10.21","--",0,114.3,2900,"0912"
"10311(實價)","華廈","台北市松山區敦化南路一段80巷31~60號","31.5","4房/2廳/2衛","7 /共7層","42.04","7.86","--",0,93,3910,"0912"
"10311(實價)","套房","台北市松山區長安東路二段211~240號","30.2","14房/1廳/1衛","11 /共12層","10.78","1.22","--",0,73.3,790,"0912"
"10311(實價)","住宅大樓","台北市松山區復興南路一段1~30號","35.8","2房/1廳/1衛","6 /共14層","22.19","1.66","--",0,82.9,1840,"0912"
"10310(實價)","華廈(含車位)","台北市松山區八德路二段437巷10弄1~30號","28.8","4房/2廳/2衛","7 /共7層","55.58","9.27","11.85",0,87.9,4885,"0912"
"10310(實價)","套房","台北市松山區南京東路四段1~30號","5.8","1房/1廳/1衛","13 /共15層","10.9","1","--",0,78,850,"0912"
"10310(實價)","套房","台北市松山區南京東路四段1~30號","5.8","1房/1廳/1衛","13 /共15層","8.73","0.97","--",0,89.3,780,"0912"
"10310(實價)","住宅大樓","台北市松山區南京東路四段1~30號","5.8","2房/1廳/2衛","13 /共15層","33.77","3.88","--",0,75.5,2550,"0912"
"10310(實價)","套房","台北市松山區復興南路一段1~30號","35.7","1房/1廳/1衛","13 /共14層","22.19","1.66","--",0,81.5,1808,"0912"
"10310(實價)","住宅大樓(含車位)","台北市松山區八德路二段331~360號","5.8","2房/1廳/1衛","10 /共14層","19.81","1.28","5.45",0,77,1526,"0912"
"10310(實價)","住宅大樓","台北市松山區敦化南路一段61~90號","28.3","3房/2廳/2衛","7 /共14層","61.02","7.35","--",0,120,7322,"0912"
