"brh.id","brh.name","brh.hm.pri","brh.zip","brh.addr","brh.lat","brh.lng"
"0509","東嘉義分行",14.53,"60043","嘉義市東區垂楊路111號",23.4743558,120.458129
"1218","朴子分行",11.4,"61341","嘉義縣朴子市山通路37號",23.465574,120.2448792
"0152","台南分行",11.06,"70054","台南市中西區民生路二段76號",22.9952655,120.1970713
"0761","東台南分行",12.63,"70156","台南市東區崇學路138號",22.9809333,120.2245229
"1067","金華分行",11.17,"70247","台南市南區金華路二段58號",22.9768471,120.1913716
"1403","安南分行",10.98,"70944","台南市安南區怡安路1段96號",23.0408093,120.2128192
"0233","永康分行",11.78,"71080","台南市永康區永大路二段1518號",23.0250923,120.2611074
"1274","鹽行分行",11.17,"71072","台南市永康區中正北路56號",23.041303,120.2390407
"0428","佳里分行",9.47,"72241","台南市佳里區延平路351號",23.1626219,120.1781392
"1137","仁德分行",14.45,"71742","台南市仁德區中山路295號",22.9705595,120.2603389
"1001","新營分行",10.04,"73047","台南市新營區民治路336號",23.3061034,120.3034332
"1311","南永康分行",12.15,"71069","台南市永康區中華路198號",23.004668,120.23564
"0082","高雄分行",19.03,"80247","高雄市苓雅區四維四路3號",22.6164337,120.3024032
"0624","大順分行",17.67,"80292","高雄市苓雅區大順三路88號",22.631737,120.324951
"0668","苓雅分行",16.13,"80263","高雄市苓雅區和平二路305號",22.6157726,120.3224281
"0196","前鎮分行",14.85,"80645","高雄市前鎮區瑞隆路474號",22.6055028,120.3291564
"0299","七賢分行",18.02,"80042","高雄市新興區林森一路233號",22.6339253,120.3047644
"0347","北高雄分行",17.16,"80794","高雄市三民區明誠二路118號",22.660628,120.312164
"0679","三民分行",18.79,"80743","高雄市三民區博愛一路195號",22.6468801,120.302968
"0705","大昌分行",19.22,"80792","高雄市三民區鼎中路343號",22.666127,120.319256
"0727","澄清分行",19.78,"80771","高雄市三民區陽明路457號",22.6464905,120.3427889
"0635","左營分行",21.75,"81358","高雄市左營區博愛二路578號",22.66779,120.303743
"0646","楠梓分行",14.8,"81150","高雄市楠梓區軍校路980號",22.7129621,120.2916822
"0738","小港分行",14.02,"81254","高雄市小港區康莊路47號",22.5685,120.356879
"0244","鳳山分行",15.04,"83061","高雄市鳳山區五甲一路100號",22.6209554,120.3568636
"0794","岡山分行",9.84,"82041","高雄市岡山區壽天路99號",22.7952908,120.2915667
"0819","林園分行",6.7,"83252","高雄市林園區林園北路343號",22.5098495,120.3943837
"0831","後庄分行",10.53,"83143","高雄市大寮區鳳屏一路492號",22.636477,120.3932408
"0934","屏東分行",7.23,"90075","屏東縣屏東市永福路9號",22.671367,120.487079
"0956","潮州分行",7.16,"92045","屏東縣潮州鎮中山路158號",22.549586,120.539025
"0978","東港分行",15.09,"92849","屏東縣東港鎮中山路75號",22.4669364,120.4495764
"0451","羅東分行",15.9,"26550","宜蘭縣羅東鎮公正路154號",24.678859,121.769188
"1023","花蓮分行",16.71,"97048","花蓮縣花蓮市中山路161號",24.0130777,121.5813383
"0716","台東分行",11.47,"95046","台東縣台東市中正路239號",22.7553719,121.1536116
"1034","澎湖分行",NA,"88042","澎湖縣馬公市民生路2號",23.567441,119.567812
